新鄉鎮市區,新交易標的,新土地區段,新主要用途,新建物型態,新總樓層數,新主要建材
北屯區,房地(土地+建物)+車位,文心路四段271~300號,住家用,住宅大樓(11層含以上有電梯),二十二層,鋼筋混凝土造
北區,房地(土地+建物),漢口路四段31~60號,住家用,住宅大樓(11層含以上有電梯),十三層,鋼筋混凝土造
北屯區,房地(土地+建物),遼寧路一段606巷1~30號,住家用,住宅大樓(11層含以上有電梯),十三層,鋼筋混凝土造
北屯區,房地(土地+建物)+車位,遼寧路一段361~390號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
北屯區,房地(土地+建物)+車位,太原路三段1111~1140號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
南區,房地(土地+建物),忠明南路451~480號,住家用,住宅大樓(11層含以上有電梯),十三層,鋼筋混凝土造
南區,房地(土地+建物)+車位,學府路135巷1~30號,住家用,住宅大樓(11層含以上有電梯),二十四層,鋼筋混凝土造
西區,房地(土地+建物),公益路91~120號,住家用,住宅大樓(11層含以上有電梯),十三層,鋼筋混凝土造
西區,房地(土地+建物),三民路一段50巷1~30號,住家用,住宅大樓(11層含以上有電梯),十九層,鋼筋混凝土造
西區,房地(土地+建物)+車位,大墩十街61~90號,住家用,住宅大樓(11層含以上有電梯),十三層,鋼筋混凝土造
西區,房地(土地+建物)+車位,忠明南路121~150號,住家用,住宅大樓(11層含以上有電梯),二十四層,鋼筋混凝土造
西區,房地(土地+建物),三民路一段50巷1~30號,住家用,住宅大樓(11層含以上有電梯),十九層,鋼筋混凝土造
南區,房地(土地+建物),南平路211~240號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
中區,房地(土地+建物),成功路306巷1~30號,住家用,住宅大樓(11層含以上有電梯),十六層,鋼筋混凝土造
東區,房地(土地+建物),十甲路391~420號,住家用,住宅大樓(11層含以上有電梯),十三層,鋼筋混凝土造
北屯區,房地(土地+建物)+車位,河北三街31~60號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
北區,房地(土地+建物),健行路361~390號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
北屯區,房地(土地+建物)+車位,遼寧路一段160巷1~30號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
南屯區,房地(土地+建物)+車位,河南路四段661~690號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,臺灣大道四段1201~1230號,住家用,住宅大樓(11層含以上有電梯),二十六層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,市政北一路91~120號,住家用,住宅大樓(11層含以上有電梯),二十六層,鋼骨鋼筋混凝土造
南屯區,房地(土地+建物)+車位,五權西路二段661~690號,住家用,住宅大樓(11層含以上有電梯),十六層,鋼筋混凝土造
南屯區,房地(土地+建物)+車位,永春東一路691~720號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,國安一路121~150號,住家用,住宅大樓(11層含以上有電梯),二十四層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,上石路181巷1~30號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,臺灣大道三段61~90號,住家用,住宅大樓(11層含以上有電梯),二十二層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,文心路二段91~120號,住家用,住宅大樓(11層含以上有電梯),三十九層,鋼骨造
西屯區,房地(土地+建物)+車位,臺灣大道四段1201~1230號,住家用,住宅大樓(11層含以上有電梯),二十六層,鋼筋混凝土造
西屯區,房地(土地+建物),國安一路151~180號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,臺灣大道三段571~600號,住家用,住宅大樓(11層含以上有電梯),二十八層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,福順路121~150號,住家用,住宅大樓(11層含以上有電梯),十九層,鋼筋混凝土造
沙鹿區,房地(土地+建物)+車位,向上路七段1~30號,住家用,住宅大樓(11層含以上有電梯),十四層,鋼筋混凝土造
西屯區,房地(土地+建物)+車位,西屯路三段宏福3巷4弄1~30號,住家用,住宅大樓(11層含以上有電梯),十五層,鋼筋混凝土造
